"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"delblnut  ","P",01/26/2015 10:38,1,1,1         ,1         ,"",0.0146,<0>  ,0.0228,<0>  ,0.0020,<0>  ,0.8662,<0>  ,0.8682,<0>  ,2.88,<0>  ,
"delblnut  ","P",03/23/2015 9:16,1,1,1         ,1         ,"",0.0080,<0>  ,0.0065,<0>  ,0.0035,<0>  ,1.1385,<0>  ,1.142,<0>  ,14.15,<0>  ,
"delblnut  ","P",04/08/2015 9:47,1,1,1         ,1         ,"",0.0135,<0>  ,0.0433,<0>  ,0.0111,<0>  ,0.6429,<0>  ,0.654,<0>  ,31.64,<0>  ,
"delblnut  ","P",05/28/2015 9:28,1,1,1         ,1         ,"",0.0096,<0>  ,0.0056,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,99.69,<0>  ,
"delblnut  ","P",06/22/2015 9:35,1,1,1         ,1         ,"",0.0474,<1> (CSM) ,0.1367,<0>  ,0.0137,<0>  ,0.3532,<0>  ,0.3669,<0>  ,23.17,<0>  ,
"delblnut  ","P",07/14/2015 13:44,1,1,1         ,1         ,"",0.0201,<0>  ,0.0056,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,79.31,<0>  ,
"delblnut  ","P",08/10/2015 13:16,1,1,1         ,1         ,"",0.0062,<0>  ,0.0056,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,78.42,<0>  ,
"delblnut  ","P",09/21/2015 10:56,1,1,1         ,1         ,"",0.0097,<0>  ,0.017,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,99.94,<0>  ,
"delblnut  ","P",10/29/2015 10:57,1,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0056,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,82.94,<0>  ,
"delblnut  ","P",10/29/2015 10:59,1,1,1         ,2         ,"",0.0020,<-4> [SBL] ,0.0056,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,75.62,<0>  ,
"delblnut  ","P",10/29/2015 11:01,1,1,1         ,3         ,"",0.0020,<-4> [SBL] ,0.0056,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,80.49,<0>  ,
"delblnut  ","P",11/30/2015 10:49,1,1,1         ,1         ,"",0.0023,<0>  ,0.0056,<-4> [SBL] ,0.0027,<0>  ,0.33,<0>  ,0.3327,<0>  ,78.6,<0>  ,
"delblnut  ","P",12/21/2015 11:50,1,1,1         ,1         ,"",0.0179,<0>  ,0.1045,<0>  ,0.0043,<0>  ,0.5341,<0>  ,0.5384,<0>  ,39.42,<0>  ,

