"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmpinut  ","P",01/20/2015 10:14,0,1,1         ,1         ,"",0.026,<0>  ,0.016,<0>  ,0.0020,<-4> [SBL] ,0.014,<0>  ,0.016,<0>  ,3.0,<0>  ,
"gtmpinut  ","P",01/20/2015 10:25,0,1,1         ,2         ,"",0.029,<0>  ,0.016,<0>  ,0.0020,<-4> [SBL] ,0.015,<0>  ,0.017,<0>  ,2.8,<0>  ,
"gtmpinut  ","P",02/17/2015 9:39,0,1,1         ,1         ,"",0.021,<0>  ,0.0080,<0>  ,0.0020,<-4> [SBL] ,0.0050,<0>  ,0.0070,<0>  ,2.6,<0>  ,
"gtmpinut  ","P",02/17/2015 9:44,0,1,1         ,2         ,"",0.019,<0>  ,0.0070,<0>  ,0.0020,<-4> [SBL] ,0.0060,<0>  ,0.0080,<0>  ,2.2,<0>  ,
"gtmpinut  ","P",03/17/2015 10:15,0,1,1         ,1         ,"",0.022,<0>  ,0.018,<0>  ,0.0020,<-4> [SBL] ,0.0040,<0>  ,0.0060,<0>  ,8.3,<0>  ,
"gtmpinut  ","P",03/17/2015 10:22,0,1,1         ,2         ,"",0.022,<0>  ,0.014,<0>  ,0.0020,<-4> [SBL] ,0.0050,<0>  ,0.0070,<0>  ,10.0,<0>  ,
"gtmpinut  ","P",04/15/2015 8:05,0,1,1         ,1         ,"",0.024,<0>  ,0.073,<1> [SRD] ,0.0020,<-4> [SBL] ,0.01,<0>  ,0.012,<0>  ,7.4,<0>  ,
"gtmpinut  ","P",04/15/2015 8:09,0,1,1         ,2         ,"",0.023,<0>  ,0.085,<1> [SRD] ,0.0020,<-4> [SBL] ,0.0090,<0>  ,0.011,<0>  ,7.5,<0>  ,
"gtmpinut  ","P",05/14/2015 7:53,0,1,1         ,1         ,"",0.03,<0>  ,0.056,<0>  ,0.0020,<0>  ,0.0090,<0>  ,0.011,<0>  ,4.9,<0>  ,
"gtmpinut  ","P",05/14/2015 7:58,0,1,1         ,2         ,"",0.039,<0>  ,0.055,<0>  ,0.0020,<0>  ,0.0070,<0>  ,0.0090,<0>  ,4.0,<0>  ,
"gtmpinut  ","P",06/30/2015 9:00,0,1,1         ,1         ,"",0.031,<0>  ,0.045,<1> [SRD] ,0.0020,<-4> [SBL] ,0.011,<0>  ,0.013,<0>  ,7.1,<0>  ,
"gtmpinut  ","P",06/30/2015 9:30,0,1,1         ,2         ,"",0.028,<0>  ,0.033,<1> [SRD] ,0.0020,<-4> [SBL] ,0.0020,<0>  ,0.0040,<-4> [SBL] ,9.7,<0>  ,
"gtmpinut  ","P",07/14/2015 9:00,0,1,1         ,1         ,"",0.018,<0>  ,0.028,<1> [SRD] ,0.0020,<-4> [SBL] ,0.0020,<0>  ,0.0040,<-4> [SBL] ,11.0,<0>  ,
"gtmpinut  ","P",07/14/2015 9:15,0,1,1         ,2         ,"",0.019,<0>  ,0.01,<1> [SRD] ,0.0020,<-4> [SBL] ,0.0020,<0>  ,0.0040,<-4> [SBL] ,15.0,<0>  ,
"gtmpinut  ","P",08/11/2015 8:47,0,1,1         ,1         ,"",0.028,<0>  ,0.078,<1> [SRD] ,0.0040,<0>  ,0.0060,<0>  ,0.01,<0>  ,8.5,<1> [SRD] ,
"gtmpinut  ","P",08/11/2015 8:52,0,1,1         ,2         ,"",0.027,<0>  ,0.1,<1> [SRD] ,0.0050,<0>  ,0.0050,<0>  ,0.01,<0>  ,22.0,<1> [SRD] ,
"gtmpinut  ","P",09/08/2015 7:40,0,1,1         ,1         ,"",0.057,<0>  ,0.035,<0>  ,0.19,<1> [SCC] ,-0.113,<-3> [SNV] ,0.077,<1> [SCC] ,2.0,<0>  ,
"gtmpinut  ","P",09/08/2015 7:45,0,1,1         ,2         ,"",0.058,<0>  ,0.03,<0>  ,0.19,<1> [SCC] ,-0.108,<-3> [SNV] ,0.082,<1> [SCC] ,2.1,<0>  ,
"gtmpinut  ","P",10/08/2015 8:03,0,1,1         ,1         ,"",0.034,<0>  ,0.038,<0>  ,0.047,<1> [SCC] ,-0.025,<-3> [SNV] ,0.022,<1> [SCC] ,1.6,<0>  ,
"gtmpinut  ","P",10/08/2015 8:05,0,1,1         ,2         ,"",0.034,<0>  ,0.043,<0>  ,0.046,<1> [SCC] ,-0.023,<-3> [SNV] ,0.023,<1> [SCC] ,1.9,<0>  ,
"gtmpinut  ","P",11/09/2015 10:13,0,1,1         ,1         ,"",0.03,<0>  ,0.057,<0>  ,0.0090,<0>  ,0.0010,<0>  ,0.01,<0>  ,2.8,<0>  ,
"gtmpinut  ","P",11/09/2015 10:15,0,1,1         ,2         ,"",0.031,<0>  ,0.053,<0>  ,0.0080,<0>  ,0.0050,<0>  ,0.013,<0>  ,2.6,<0>  ,
"gtmpinut  ","P",12/08/2015 8:45,0,1,1         ,1         ,"",0.025,<0>  ,0.037,<0>  ,0.01,<1> [SCC] ,-0.0020,<-3> [SNV] ,0.0080,<1> [SCC] ,3.0,<0>  ,
"gtmpinut  ","P",12/08/2015 8:50,0,1,1         ,2         ,"",0.025,<0>  ,0.038,<0>  ,0.014,<1> [SCC] ,-0.0040,<-3> [SNV] ,0.01,<1> [SCC] ,2.9,<0>  ,

