"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"job20nut  ","P",03/21/2018 9:15,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH1} {ESE} {WS1}",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,0.35,<0>  ,
"job20nut  ","P",03/21/2018 9:16,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH1} {ESE} {WS1}",0.0020,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0084,<0>  ,0.22,<0>  ,
"job20nut  ","P",04/11/2018 9:03,0,1,1         ,1         ,"{COC} {PNP} {TSE} {WH1} {E} {WS1}",0.0029,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,0.77,<0>  ,
"job20nut  ","P",04/11/2018 9:04,0,1,1         ,2         ,"{COC} {PNP} {TSE} {WH1} {E} {WS1}",0.0022,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0135,<0>  ,0.88,<0>  ,
"job20nut  ","P",05/09/2018 12:10,0,1,1         ,1         ,"{CSP} {PNP} {TSL} {WH1} {S} {WS0}",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,0.38,<0>  ,
"job20nut  ","P",05/09/2018 12:11,0,1,1         ,2         ,"{CSP} {PNP} {TSL} {WH1} {S} {WS0}",0.0018,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,0.38,<0>  ,
"job20nut  ","P",06/06/2018 10:56,0,1,1         ,1         ,"{CPB} {PNP} {TSE} {WH1} {SE} {WS1}",0.0016,<-4> [SBL] ,0.0206,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,0.37,<0>  ,
"job20nut  ","P",06/06/2018 10:57,0,1,1         ,2         ,"{CPB} {PNP} {TSE} {WH1} {SE} {WS1}",0.0016,<-4> [SBL] ,0.0194,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,0.34,<0>  ,
"job20nut  ","P",07/18/2018 12:45,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH1} {SSE} {WS1}",0.0016,<-4> [SBL] ,0.0183,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,0.36,<0>  ,
"job20nut  ","P",07/18/2018 12:46,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH1} {SSE} {WS1}",0.0016,<-4> [SBL] ,0.0177,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,0.27,<0>  ,
"job20nut  ","P",10/02/2018 9:24,0,1,1         ,1         ,"{CSP} {PNP} {TSF} {WH0} {SE} {WS0}",0.015,<-4> [SBL] ,0.019,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.062,<0>  ,1.4,<0>  ,
"job20nut  ","P",10/02/2018 9:25,0,1,1         ,2         ,"{CSP} {PNP} {TSF} {WH0} {SE} {WS0}",0.015,<-4> [SBL] ,0.024,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.093,<0>  ,1.3,<0>  ,
"job20nut  ","P",11/14/2018 9:10,0,1,1         ,1         ,"{COC} {PNP} {TSF} {WH1} {SE} {WS1}",0.015,<-4> [SBL] ,0.019,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.062,<0>  ,0.86,<0>  ,
"job20nut  ","P",11/14/2018 9:11,0,1,1         ,2         ,"{COC} {PNP} {TSF} {WH1} {SE} {WS1}",0.015,<-4> [SBL] ,0.02,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.089,<0>  ,0.85,<0>  ,
"job20nut  ","P",12/19/2018 9:50,0,1,1         ,1         ,"{CSP} {PNP} {TSH} {WH0} {ESE} {WS1}",0.015,<-4> [SBL] ,0.045,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.04,<0>  ,0.94,<0>  ,
"job20nut  ","P",12/19/2018 9:51,0,1,1         ,2         ,"{CSP} {PNP} {TSH} {WH0} {ESE} {WS1}",0.015,<-4> [SBL] ,0.048,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.04,<0>  ,1.0,<0>  ,

