"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"niwdcnut  ","P",01/02/2018 1:40,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwdcnut  ","P",01/02/2018 3:44,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwdcnut  ","P",01/02/2018 5:48,1,1,2         ,1         ,"",0.0087,<0>  ,0.0342,<0>  ,6.0E-4,<0>  ,0.0035,<0>  ,0.0041,<0>  ,4.43,<0>  ,
"niwdcnut  ","P",01/02/2018 7:52,1,1,2         ,1         ,"",0.0075,<0>  ,0.0222,<0>  ,3.0E-4,<0>  ,0.0041,<0>  ,0.0044,<0>  ,5.7,<0>  ,
"niwdcnut  ","P",01/02/2018 9:56,1,1,2         ,1         ,"",0.0080,<0>  ,0.0174,<0>  ,5.0E-4,<0>  ,0.0030,<0>  ,0.0035,<0>  ,4.38,<0>  ,
"niwdcnut  ","P",01/02/2018 12:00,1,1,2         ,1         ,"",0.0090,<0>  ,0.0191,<0>  ,6.0E-4,<0>  ,0.0038,<0>  ,0.0044,<0>  ,4.21,<0>  ,
"niwdcnut  ","P",01/02/2018 14:04,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwdcnut  ","P",01/02/2018 16:08,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwdcnut  ","P",01/02/2018 18:12,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwdcnut  ","P",01/02/2018 20:16,1,1,2         ,1         ,"",0.0075,<0>  ,0.0255,<0>  ,6.0E-4,<0>  ,0.0029,<0>  ,0.0035,<0>  ,4.96,<0>  ,
"niwdcnut  ","P",01/02/2018 22:20,1,1,2         ,1         ,"",0.0079,<0>  ,0.0253,<0>  ,5.0E-4,<0>  ,0.0032,<0>  ,0.0037,<0>  ,4.77,<0>  ,
"niwdcnut  ","P",01/03/2018 0:24,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwdcnut  ","P",01/03/2018 2:28,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwdcnut  ","P",01/03/2018 2:30,1,1,1         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwdcnut  ","P",01/03/2018 2:32,1,1,1         ,2         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwdcnut  ","P",01/22/2018 5:11,1,1,2         ,1         ,"",0.0105,<0>  ,0.0542,<0>  ,6.0E-4,<0>  ,0.0024,<0>  ,0.0030,<0>  ,1.1,<0>  ,
"niwdcnut  ","P",01/22/2018 7:15,1,1,2         ,1         ,"",0.0101,<0>  ,0.0523,<0>  ,4.0E-4,<0>  ,0.0017,<0>  ,0.0021,<0>  ,0.88,<0>  ,
"niwdcnut  ","P",01/22/2018 9:19,1,1,2         ,1         ,"",0.0089,<0>  ,0.0383,<0>  ,2.0E-4,<0>  ,0.0014,<0>  ,0.0016,<0>  ,1.21,<0>  ,
"niwdcnut  ","P",01/22/2018 11:23,1,1,2         ,1         ,"",0.0070,<0>  ,0.0684,<0>  ,1.0E-4,<0>  ,"",<-4> [SCB] ,0.0012,<-4> [SBL] ,1.94,<0>  ,
"niwdcnut  ","P",01/22/2018 13:27,1,1,2         ,1         ,"",0.0068,<0>  ,0.0642,<0>  ,1.0E-4,<0>  ,0.0023,<0>  ,0.0024,<0>  ,1.81,<0>  ,
"niwdcnut  ","P",01/22/2018 15:31,1,1,2         ,1         ,"",0.0081,<0>  ,0.0353,<0>  ,2.0E-4,<0>  ,0.0031,<0>  ,0.0033,<0>  ,1.1,<0>  ,
"niwdcnut  ","P",01/22/2018 17:35,1,1,2         ,1         ,"",0.0101,<0>  ,0.043,<0>  ,4.0E-4,<0>  ,0.0038,<0>  ,0.0042,<0>  ,2.17,<0>  ,
"niwdcnut  ","P",01/22/2018 19:39,1,1,2         ,1         ,"",0.0090,<0>  ,0.0544,<0>  ,3.0E-4,<0>  ,0.0029,<0>  ,0.0032,<0>  ,1.34,<0>  ,
