event,parameter,station,date,min,max,mean,median,station_name
Florence,cdepth,nocrcwq,2018-09-12,4.8556432,10.2034124,7.10345028947368,6.8405514,Research Creek (RC)
Florence,cdepth,nocrcwq,2018-09-13,5.249344,11.0236224,8.08248604166667,8.0544622,Research Creek (RC)
Florence,cdepth,nocrcwq,2018-09-14,6.6601052,13.615486,9.43275675416667,9.2355646,Research Creek (RC)
Florence,cdepth,nocrcwq,2018-09-15,6.9553808,11.1876644,9.05101735,9.0879268,Research Creek (RC)
Florence,cdepth,nocrcwq,2018-09-16,6.8569556,10.5314964,8.53394329583333,8.4645672,Research Creek (RC)
Florence,cdepth,nocrcwq,2018-09-17,5.6102364,8.9566932,7.42665979583333,7.3326774,Research Creek (RC)
Florence,cdepth,nocrcwq,2018-09-18,5.2821524,8.4973756,6.78484547083333,6.7913388,Research Creek (RC)
Florence,cdepth,nocrcwq,2018-09-19,5.1837272,8.6286092,6.793389325,6.7093178,Research Creek (RC)
Florence,cdepth,nocrcwq,2018-09-20,5.413386,7.2834648,6.04455712380952,5.8727036,Research Creek (RC)
Florence,cdepth,noczbwq,2018-09-12,0.2296588,4.9540684,2.11052983684211,1.7716536,Zeke's Basin (ZB)
Florence,cdepth,noczbwq,2018-09-13,0.1968504,5.1181104,2.57682641666667,2.5098426,Zeke's Basin (ZB)
Florence,cdepth,noczbwq,2018-09-14,0.5249344,6.725722,3.92641362083333,3.8221786,Zeke's Basin (ZB)
Florence,cdepth,noczbwq,2018-09-15,1.3779528,5.413386,3.46162795416667,3.444882,Zeke's Basin (ZB)
Florence,cdepth,noczbwq,2018-09-16,1.5091864,5.3477692,3.38268274166667,3.3464568,Zeke's Basin (ZB)
Florence,cdepth,noczbwq,2018-09-17,1.3451444,4.4619424,2.9189223375,2.8543308,Zeke's Basin (ZB)
Florence,cdepth,noczbwq,2018-09-18,0.9514436,4.2322836,2.433973175,2.3293964,Zeke's Basin (ZB)
Florence,cdepth,noczbwq,2018-09-19,0.6889764,4.2322836,2.294537475,2.214567,Zeke's Basin (ZB)
Florence,cdepth,noczbwq,2018-09-20,0.8530184,3.0511812,1.77634051428571,1.6732284,Zeke's Basin (ZB)
Florence,chlfluor,nocrcwq,2018-09-12,5.2,20.7,9.00263157894737,7.55,Research Creek (RC)
Florence,chlfluor,nocrcwq,2018-09-13,4.9,25.5,9.22291666666667,8.15,Research Creek (RC)
Florence,chlfluor,nocrcwq,2018-09-14,8.7,80.5,19.6572916666667,13.05,Research Creek (RC)
Florence,chlfluor,nocrcwq,2018-09-15,6.7,15.4,10.0208333333333,9.9,Research Creek (RC)
Florence,chlfluor,nocrcwq,2018-09-16,4.4,13.4,6.86458333333333,6.8,Research Creek (RC)
Florence,chlfluor,nocrcwq,2018-09-17,4.8,10.9,7.19375,7.05,Research Creek (RC)
Florence,chlfluor,nocrcwq,2018-09-18,6.8,15.2,10.9739583333333,10.95,Research Creek (RC)
Florence,chlfluor,nocrcwq,2018-09-19,6.9,21.3,12.9770833333333,12.9,Research Creek (RC)
Florence,chlfluor,nocrcwq,2018-09-20,9.3,16.6,12.6095238095238,13,Research Creek (RC)
Florence,depth,nocrcwq,2018-09-12,5.0196852,10.4330712,7.27785283684211,7.0209976,Research Creek (RC)
Florence,depth,nocrcwq,2018-09-13,5.249344,10.8923888,8.015502225,8.038058,Research Creek (RC)
Florence,depth,nocrcwq,2018-09-14,5.1509188,12.5000004,8.44166967083333,8.284121,Research Creek (RC)
Florence,depth,nocrcwq,2018-09-15,6.725722,11.0236224,8.79025892083333,8.776247,Research Creek (RC)
Florence,depth,nocrcwq,2018-09-16,6.8569556,10.498688,8.53701908333333,8.4645672,Research Creek (RC)
Florence,depth,nocrcwq,2018-09-17,5.74147,9.0551184,7.5264520125,7.4311026,Research Creek (RC)
Florence,depth,nocrcwq,2018-09-18,5.3149608,8.4317588,6.79988265416667,6.807743,Research Creek (RC)
Florence,depth,nocrcwq,2018-09-19,5.1509188,8.6286092,6.80364195,6.7421262,Research Creek (RC)
Florence,depth,nocrcwq,2018-09-20,5.5118112,7.3490816,6.13985771428571,5.9711288,Research Creek (RC)
Florence,depth,noczbwq,2018-09-12,0.3608924,5.1837272,2.28493238421053,1.9192914,Zeke's Basin (ZB)
Florence,depth,noczbwq,2018-09-13,0.1968504,4.9868768,2.5098426,2.4114174,Zeke's Basin (ZB)
Florence,depth,noczbwq,2018-09-14,0.0656168,5.7742784,2.9353265375,2.8871392,Zeke's Basin (ZB)
Florence,depth,noczbwq,2018-09-15,1.148294,5.2821524,3.200869525,3.1496064,Zeke's Basin (ZB)
Florence,depth,noczbwq,2018-09-16,1.4107612,5.3805776,3.38575852916667,3.3136484,Zeke's Basin (ZB)
Florence,depth,noczbwq,2018-09-17,1.476378,4.5603676,3.01871455416667,2.952756,Zeke's Basin (ZB)
Florence,depth,noczbwq,2018-09-18,0.984252,4.1666668,2.44901035833333,2.3293964,Zeke's Basin (ZB)
Florence,depth,noczbwq,2018-09-19,0.7545932,4.265092,2.3047901,2.214567,Zeke's Basin (ZB)
Florence,depth,noczbwq,2018-09-20,0.984252,3.116798,1.8716411047619,1.7716536,Zeke's Basin (ZB)
Florence,do_mgl,nocrcwq,2018-09-12,3.5,6.2,5.18684210526316,5.9,Research Creek (RC)
Florence,do_mgl,nocrcwq,2018-09-13,4.3,6.2,5.4375,5.7,Research Creek (RC)
Florence,do_mgl,nocrcwq,2018-09-14,5.6,6.5,6.09583333333333,6.1,Research Creek (RC)
Florence,do_mgl,nocrcwq,2018-09-15,6.1,6.6,6.35625,6.4,Research Creek (RC)
Florence,do_mgl,nocrcwq,2018-09-16,6,7,6.56666666666667,6.5,Research Creek (RC)
Florence,do_mgl,nocrcwq,2018-09-17,5.4,6.6,5.965625,6,Research Creek (RC)
Florence,do_mgl,nocrcwq,2018-09-18,4.5,6.1,5.43645833333333,5.4,Research Creek (RC)
Florence,do_mgl,nocrcwq,2018-09-19,4.6,5.9,5.14895833333333,5.1,Research Creek (RC)
Florence,do_mgl,nocrcwq,2018-09-20,3.3,4.9,4.12857142857143,4.1,Research Creek (RC)
Florence,do_mgl,noczbwq,2018-09-12,1.6,6.1,4.08421052631579,4.15,Zeke's Basin (ZB)
Florence,do_mgl,noczbwq,2018-09-13,3.1,6,4.9625,5.2,Zeke's Basin (ZB)
Florence,do_mgl,noczbwq,2018-09-14,1.8,6.7,5.66979166666667,6,Zeke's Basin (ZB)
Florence,do_mgl,noczbwq,2018-09-15,5.8,6.9,6.475,6.5,Zeke's Basin (ZB)
Florence,do_mgl,noczbwq,2018-09-16,6.2,7.5,6.98854166666667,7.1,Zeke's Basin (ZB)
Florence,do_mgl,noczbwq,2018-09-17,4.3,7.2,6.24375,6.4,Zeke's Basin (ZB)
Florence,do_mgl,noczbwq,2018-09-18,3.6,7.2,5.846875,5.95,Zeke's Basin (ZB)
Florence,do_mgl,noczbwq,2018-09-19,3.4,7.2,5.24375,5.2,Zeke's Basin (ZB)
Florence,do_mgl,noczbwq,2018-09-20,2.9,6.5,4.23809523809524,3.9,Zeke's Basin (ZB)
Florence,do_pct,nocrcwq,2018-09-12,54.1,99.8,83.1171052631579,94.6,Research Creek (RC)
Florence,do_pct,nocrcwq,2018-09-13,66,100.2,85.4427083333333,87.55,Research Creek (RC)
